Dwelling parameters,,,,,,,,Appliance and water fixtures owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwelling index,Number of residents,Building index,Primary heating system index,PV system index,Solar thermal collector index,Cooling system index,,Chest freezer,Fridge freezer,Refrigerator,Upright freezer,Answer machine,Cassette / CD Player,Clock,Cordless telephone,Hi-Fi,Iron,Vacuum,Fax,Personal computer,Printer,TV 1,TV 2,TV 3,VCR / DVD,TV Receiver box,Hob,Oven,Microwave,Kettle,Small cooking (group),Dish washer,Tumble dryer,Washing machine,Washer dryer,DESWH Domestic electric storage water heater,"E-INST, Instant electric hot water",Electric shower,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,1,2,2,1,,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,
2,2,1,1,2,0,1,,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,
3,1,2,1,2,2,1,,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,
4,1,6,1,2,2,1,,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,
5,2,2,1,2,2,1,,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,
6,1,4,1,2,2,1,,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,
7,2,2,1,2,0,1,,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,
8,3,6,1,2,2,1,,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,
9,2,2,1,2,2,1,,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,
10,2,6,1,2,0,1,,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,
11,2,1,1,2,0,1,,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,
12,1,1,1,2,2,1,,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,
13,2,3,1,2,2,1,,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
14,4,3,1,2,0,1,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,
15,2,4,1,2,0,1,,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,
16,2,6,1,2,2,1,,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,
17,3,4,1,2,0,1,,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,
18,1,2,1,2,2,1,,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,
19,1,4,1,2,2,1,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,
20,1,6,1,2,2,1,,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,
