Simulation results - daily sums,,,,,,,,,,,,,,,,
Dwelling index,Date,Mean active occupancy,Proportion of day actively occupied,Lighting demand,Appliance demand,PV output,Total dwelling electricity demand,Total self-consumption,Net dwelling electricity demand,Hot water demand (litres),Average indoor air temperature,Thermal energy used for space heating,Thermal energy used for hot water heating,Gas demand,Space thermostat set point,Solar thermal collector heat gains
,,,,Elight,Ea,Epv,Etotal,Eself,Enet,,θi,"Eh, space","Eh, water",mfuel,,
,,,,kWh,kWh,kWh,kWh,kWh,kWh,litres/day,°C,kWh,kWh,m3/day,°C,kWh
1,2015-01-01 00:00:00,0.4236111111111111,0.4236111111111111,1.9361,10.717833333333333,2.3869256630375055,12.653933333333333,1.4812436117853245,10.267007670295822,52,16.638142941069905,14.01592343371725,1.0160305657933566,1.8038344799412722,17,2.446617780709943
2,2015-01-01 00:00:00,0.8055555555555556,0.6041666666666666,2.7984,13.32475,2.3869256630375055,16.12315,1.7192665002183107,13.736224336962495,106,16.366851652281024,42.41512593167756,6.726551167455892,5.897001251896031,17,0
3,2015-01-01 00:00:00,0.6527777777777778,0.6527777777777778,3.420533333333333,7.410416666666666,2.3869256630375055,10.83095,1.5391155546088837,8.444024336962498,162,18.580011071753802,32.75924998242002,4.449291773588847,4.465025010721076,20,2.5410849976491208
4,2015-01-01 00:00:00,0.05555555555555555,0.05555555555555555,0.105,3.5973333333333333,2.3869256630375055,3.7023333333333333,0.8673598256251271,1.3154076702958284,4,18.953480367927263,20.271234612800377,0,2.4325481535360467,21,2.250956316231487
5,2015-01-01 00:00:00,0.7430555555555556,0.4861111111111111,2.7749166666666665,11.496,2.3869256630375055,14.270916666666666,1.4575224235372148,11.883991003629163,276.99999999999994,19.395267786841067,30.709551005222245,13.05564990693398,5.251824109458764,22,2.294940191043442
6,2015-01-01 00:00:00,0.2708333333333333,0.2708333333333333,1.367,5.727133333333334,2.3869256630375055,7.094133333333334,0.791637942601873,4.707207670295827,87,18.44345616794748,25.212212111427018,4.819246805128993,3.6037750699867286,23,1.7232030972169026
7,2015-01-01 00:00:00,0.9236111111111112,0.5972222222222222,7.245966666666667,9.714216666666667,2.3869256630375055,16.960183333333333,1.6067258302346885,14.573257670295828,71,16.91413245391613,11.682791208174697,1.3121101897022127,1.5593881677452286,18,0
8,2015-01-01 00:00:00,0.9166666666666666,0.5347222222222222,3.3295,11.3021,2.3869256630375055,14.631599999999999,2.029996771154681,12.244674336962493,54,18.157109936160435,3.9444905252638174,0,0.47333886303165806,19,2.4528390857878413
9,2015-01-01 00:00:00,0.6527777777777778,0.4166666666666667,2.1009166666666665,5.461333333333333,2.3869256630375055,7.56225,1.1114780244004387,5.175324336962493,226.99999999999994,18.616197070237146,30.02029950843804,10.9270589443419,4.913683014333603,22,2.3065806916243465
10,2015-01-01 00:00:00,0.1527777777777778,0.1111111111111111,0.31206666666666666,3.6042666666666667,2.3869256630375055,3.916333333333333,0.7526845633235031,1.5294076702958277,121.00000000000001,17.593184090498593,13.953890457758922,3.8966651182027725,2.142066669115407,19,0
11,2015-01-01 00:00:00,0.6666666666666666,0.4791666666666667,4.0129,15.157116666666667,2.3869256630375055,19.17001666666667,0.8552979407379003,16.783091003629163,208.99999999999994,17.771859131900086,59.59103441720246,9.03605430319049,8.235250646447176,23,0
12,2015-01-01 00:00:00,0.5208333333333334,0.5208333333333334,2.63615,14.07515,2.3869256630375055,16.7113,1.6538158244022654,14.324374336962496,94,14.570686745952026,30.569828240276454,3.444618477036835,4.081733606077601,16,2.344390813782612
13,2015-01-01 00:00:00,0.8472222222222222,0.6388888888888888,4.4352,28.422283333333333,2.3869256630375055,32.857483333333334,1.8740770097829604,30.470557670295822,92,19.17954507836575,38.841320209569766,4.6087201674410165,5.21400484524131,21,2.1921764382097053
14,2015-01-01 00:00:00,1.1805555555555556,0.4375,1.368,4.887316666666667,2.3869256630375055,6.255316666666667,0.704156024980223,3.8683910036291587,221.99999999999994,17.610879378811696,37.08937981895963,8.579756155330006,5.480296316914774,20,0
15,2015-01-01 00:00:00,0.6041666666666666,0.4027777777777778,1.9428666666666667,2.0635333333333334,2.3869256630375055,4.0064,0.4065691451339028,1.6194743369624944,115,20.435312361888172,38.27875827788657,2.9171926805410773,4.943514115011324,22,0
16,2015-01-01 00:00:00,0.9166666666666666,0.6041666666666666,3.722566666666667,6.357066666666666,2.3869256630375055,10.079633333333334,1.483025263605182,7.692707670295827,93,18.04431742377403,4.485567105557931,2.9910374509351465,0.8971925467791698,19,2.3685859841702417
17,2015-01-01 00:00:00,0.875,0.5763888888888888,3.6485833333333333,9.682033333333333,2.3869256630375055,13.330616666666666,2.0175994401184236,10.943691003629164,267.99999999999994,15.6175177453935,2.3302218136991817,13.05928810925534,1.8467411907545448,14,0
18,2015-01-01 00:00:00,0.5555555555555556,0.5555555555555556,2.4804333333333335,3.0436833333333335,2.3869256630375055,5.524116666666667,1.6245286494955538,3.1371910036291615,78,20.73550917440985,43.64252146597104,3.33839484122122,5.6377099568630795,24,2.3309898041586887
19,2015-01-01 00:00:00,0.25,0.25,0.9344833333333333,3.79805,2.3869256630375055,4.7325333333333335,0.7276415249416529,2.345607670295827,60,17.23229007506096,23.056563317156417,1.3576845719567003,2.929709746693577,19,2.299259144076931
20,2015-01-01 00:00:00,0.4583333333333333,0.4583333333333333,1.4404166666666667,12.272133333333333,2.3869256630375055,13.71255,1.644914181419812,11.325624336962491,49,18.340175154003067,13.24693142129135,1.4129519188249748,1.7591860008139588,19,2.412595500048551
