,Appliance and water fixture model configuration,,,,,,,,,,,,,,,,,means used by VBA code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,means ultimately a power input required from external data sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Appliance category,Appliance type,,,Proportion,Appliance demand configuration for UK,,,,,,,,,,,,,,,,,,,,,,,,,,,Databases of appliance ownership to draw from,,,,,,,,,,,,,,"Databases of annual energy demand to draw from, kWh/y per appliance",,,,,,,,"Databases of operating loads, Watts per appliance",,,,,,,,"Databases of standby loads, Watts per appliance",,,,,,,
,,,,,of dwellings,,,,,,,,,,,,,,,,,,,Time appliance,Time appliance,Time when,Time when ,Average tme ,Probability of ,Overall average demand,Appliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,with,Associated,Average,Total number,Average number,Probability of ,Active occupancy,Active,Number of minutes,Probability of,,,,Delay start,,,,,Target number,spent running,spent in delayed,appliance is,appliance could,between switch,switch on event,per dwelling taking,mean,Heat gains ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,appliance,activity use,activity,of minutes,of minutes activity,activity occurring,dependent?,occupancy-dependent,in which appliance,activity occurring ,Mean cycle,Mean cycle ,Mean cycle,after cycle,Standby,Standby losses,Target demand,Target demand,of cycles,in period,restart mode,available to ,be switched on,on events,,ownership into,power,(for casual,UK,India,,,,,,India,,,,,,Appliance,UK,India,,,,,,,UK,India,,,,,,,UK,India,,,,,,
,,UK Appliance Names,Indian Database Equivalent,Short name,,profile,probability,in period,performed in period,,,probability,can operate,given active,power,demand,length,has finished,Power,for period,for period,for cycles only,in period,,,switch on,due to activity occurring,,,account,factor,thermal gains),Urban/Rural,Urban,,,,,,Rural,,,,,,no,Urban/Rural,Urban/Rural,,,,,,,Urban/Rural,Urban/Rural,,,,,,,Urban/Rural,Urban/Rural,,,,,,
,,,,,,,,(minutes/year),(minutes/year),,,multiplier,(min),occupancy,(W),(kWh),(min),(min),(W),,(kWh/y),(kWh/y),(cycles/y),(min),(min),(min),(min),(min),,(kWh/y),,,Any year,2006,2011.0,2016.0,2021.0,2026.0,2031.0,2006,2011.0,2016.0,2021.0,2026.0,2031.0,,Any year,2006,2011.0,2016.0,2021.0,2026.0,2031.0,,Any year,2006,2011.0,2016.0,2021.0,2026.0,2031.0,,Any year,2006,2011.0,2016.0,2021.0,2026.0,2031.0,
,Cold,Chest freezer,,CHEST_FREEZER,0.163,LEVEL,1,525600,525600,1,NO,1,525600,1,190,0.044333333333333336,14,56,0,0,271.13199689728316,271.13199689728316,6115.759328510146,85620.63059914204,342482.52239656815,97496.8470042898,97496.8470042898,15.941903820476355,0.06272776521933121,44.19451549425715,0.8,1,0.163,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,271.13199689728316,947.1212121212121,763.070707070707,523.340689503733,386.4579149875919,323.52082664096804,299.3457213645892,,190,695.0498132004982,559.9833955998339,384.05627899001934,283.60414504960266,237.41743638035814,219.67641000336783,,0,0,0.0,0.0,0.0,0.0,0.0,1.0
,,Fridge freezer,,FRIDGE_FREEZER,0.651,LEVEL,1,525600,525600,1,NO,1,525600,1,190,0.06966666666666667,22,44,0,0,426.06456655287354,426.06456655287354,6115.759328510147,134546.70522722322,269093.41045444645,121959.88431833033,121959.88431833033,19.941903820476345,0.05014566357366543,277.3680328259207,0.8,1,0.651,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,426.06456655287354,1488.3333333333335,1199.111111111111,822.3925120772946,607.2910092662158,508.38987043580687,470.40041928721166,,190,695.0498132004982,559.9833955998339,384.05627899001934,283.60414504960266,237.41743638035814,219.67641000336783,,0,0,0.0,0.0,0.0,0.0,0.0,2.0
,,Refrigerator,Refrigerator,FRIDGE,0.43,LEVEL,1,525600,525600,1,NO,1,525600,1,110,0.033,18,36,0,0,201.82005784083483,201.82005784083483,6115.759328510147,110083.66791318264,220167.33582636528,195348.99626045208,195348.99626045208,31.941903820476345,0.03130683773955109,86.78262487155898,0.8,1,0.43,0.3478295996107345,0.4744630215697027,0.6020572249767058,0.6858448678991587,0.7407187314138567,0.7486459948550025,0.044311563373339455,0.08927178803053641,0.16778866443321538,0.2765145670029344,0.373595353871643,0.4354183884397059,3,201.82005784083483,705,568.0,389.55434782608694,287.664162283997,240.81625441696116,222.8212512413108,,110,402.3972602739726,324.2009132420091,222.34837204685329,164.19187344976996,137.45220000968104,127.18107947563402,,0,0,0.0,0.0,0.0,0.0,0.0,3.0
,,Upright freezer,,UPRIGHT_FREEZER,0.291,LEVEL,1,525600,525600,1,NO,1,525600,1,155,0.051666666666666666,20,40,0,0,315.9808986396909,315.9808986396909,6115.759328510147,122315.18657020293,244630.37314040586,158654.4402893912,158654.4402893912,25.941903820476345,0.03854767201822268,91.95044150415005,0.8,1,0.291,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,315.9808986396909,1103.7878787878788,889.2929292929293,609.9083223539745,450.3832843840356,377.0355498447372,348.8615549737694,,155,567.0143212951433,456.8285595682856,313.30906970238414,231.36127622467583,193.6826454681869,179.2097028974843,,0,0,0.0,0.0,0.0,0.0,0.0,4.0
,Consumer Electronics + ICT,Answer machine,,ANSWER_MACHINE,0.9,ACTIVE_OCC,0.47196350983623836,525600,248064.0207699269,0.47196350983623836,YES,0.47196350983623836,248064.0207699269,1,0,0,0,0,1,8.76,8.76,0,0,0,0,248064.0207699269,248064.0207699269,0,1,7.884,1,1,0.9,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,8.76,8.76,8.76,8.76,8.76,8.76,8.76,,0,0,0.0,0.0,0.0,0.0,0.0,,1,1,1.0,1.0,1.0,1.0,1.0,5.0
,,Cassette / CD Player,CD Player,CD_PLAYER,0.9,ACTIVE_OCC,0.47196350983623836,525600,248064.0207699269,0.47196350983623836,YES,0.47196350983623836,248064.0207699269,1,15,0.015,60,0,2,17.52,33.285917155258325,15.765917155258325,1212.7628580967942,72765.77148580765,0,175298.24928411923,175298.24928411923,144.54453986100566,0.0069182827726429665,29.957325439732493,1,1,0.9,0.28896612890737944,0.37361097833749546,0.4702938592410631,0.5533623507097023,0.6239387512359964,0.6508999302448538,0.1141174508792852,0.17413509270154018,0.24808017256690126,0.3158087423138777,0.35514620059403096,0.37464214279508096,6,33.285917155258325,65.9325,63.315,59.857526427061316,58.00184782608695,56.58389328063242,56.308075157773956,,15,35,35.0,34.02652955899214,33.44560606142005,33.103823900077465,32.942459348467835,,2,1.6999999999999997,1.4000000000000001,1.1666238705940162,1.0511476190732016,0.9458235400022134,0.9412131242419383,6.0
,,Clock,,CLOCK,0.9,LEVEL,1,525600,525600,1,NO,1,525600,1,0,0,0,0,2,17.52,17.52,0,0,0,0,525600,525600,0,1,15.768,1,1,0.9,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7,17.52,17.52,17.52,17.52,17.52,17.52,17.52,,0,0,0.0,0.0,0.0,0.0,0.0,,2,2,2.0,2.0,2.0,2.0,2.0,7.0
,,Cordless telephone,,PHONE,0.9,ACTIVE_OCC,0.47196350983623836,525600,248064.0207699269,0.47196350983623836,YES,0.47196350983623836,248064.0207699269,1,0,0,0,0,1,8.76,8.76,0,0,0,0,248064.0207699269,248064.0207699269,0,1,7.884,1,1,0.9,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8,8.76,8.76,8.76,8.76,8.76,8.76,8.76,,0,0,0.0,0.0,0.0,0.0,0.0,,1,1,1.0,1.0,1.0,1.0,1.0,8.0
