,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simulation results - disaggregated. Individual dwelling simulations are listed below in sequential order (dwelling 1 first, then dwelling 2 etc.) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwelling index,Date,Time,Occupancy,Activity,Lighting demand,Appliance demand,"Casual thermal gains from occupants, lighting and appliances",Outdoor temperature,Outdoor global radiation (horizontal),Passive solar gains,Primary heating system thermal output,External building node temperature,Internal building node temperature,Hot water demand (litres),Hot water temperature in hot water tank,Space heating timer settings,Hot water heating timer settings,Heating system switched on,Hot water heating required,Emitter temperature,Radiation incident on PV array,PV output,Net dwelling electricity demand,Heat output from primary heating system to space,Heat output from primary heating system to hot water,Fuel flow rate (gas),Solar power incident on collector,Solar thermal collector control state,Solar thermal collector temperature,Heat gains to cylinder from solar thermal collector,Dwelling self-consumption,Space cooling timer settings,Cooling system switched on,Cooling output from cooling system to space,Cooler Emitter temperature,Heating Thermostat Set Point,Cooling Thermostat Set Point,Electricity used by cooling system,Electricity used by heating system
,,,,,Plight,Pa,θc,θo,Go,φs,φh,θb,θi,,θcyl,,,,,θem,Gi,Ppv,Pnet,"φh, space","φh, water",mfuel,,,θcollector,φcollector,Pself,,,"φh, space",θem,θem,θem,,
,,,,,W,W,W,°C,Wm-2,W,W,°C,°C,ltr.min-1,°C,,,,,°C,Wm-2,W,W,W,W,m3/h,W,,°C,W,kWh,,,W,°C,°C,°C,W,W
1,2015-01-01 00:00:00,00:00:00,2,0,0,63,218.2,3.088080046620232,0,0,0,17.28004784618664,20.65179308892136,0,60.39602464906829,1,1,0,0,20.78209698200226,0,0,63,0,0,0,0,0,3.088080046620232,0,0,0,0,0,20.78209698200226,20,25,0,0
1,2015-01-01 00:00:00,00:01:00,2,0,0,63,218.2,3.076820644324823,0,0,0,17.277832105870576,20.52675388878277,0,60.3892113522294,1,1,0,0,20.777664876795424,0,0,63,0,0,0,0,0,0,0,0,0,0,0,20.65179308892136,20,25,0,0
1,2015-01-01 00:00:00,00:02:00,2,0,0,63,218.2,3.065561242029414,0,0,0,17.275532133167122,20.405347715313887,0,60.38237778809281,1,1,0,0,20.769130489448056,0,0,63,0,0,0,0,0,0,0,0,0,0,0,20.52675388878277,20,25,0,0
1,2015-01-01 00:00:00,00:03:00,2,0,0,63,218.2,3.054301839734005,0,0,0,17.27315041800627,20.28744756002097,0,60.37552458293748,0,1,0,0,20.756756925701996,0,0,63,0,0,0,0,0,0,0,0,0,0,0,20.405347715313887,20,25,0,0
1,2015-01-01 00:00:00,00:04:00,2,0,0,63,218.2,3.0430424374385963,0,0,0,17.27068936371541,20.172916453061426,0,60.368652341162125,0,1,0,0,20.740794022107405,0,0,63,0,0,0,0,0,0,0,0,0,0,0,20.28744756002097,20,25,0,0
1,2015-01-01 00:00:00,00:05:00,2,0,0,63,218.2,3.0317830351431874,0,0,0,17.268151280502178,20.061623694523018,0,60.36176164358131,0,0,0,0,20.721478458534413,0,0,63,0,0,0,0,0,0,0,0,0,0,0,20.172916453061426,20,25,0,0
1,2015-01-01 00:00:00,00:06:00,2,0,0,63,218.2,3.0205236328477785,0,0,0,17.265538389700612,19.953444387385584,0,60.35485304850433,0,0,0,0,20.69903441894219,0,0,63,0,0,0,0,0,0,0,0,0,0,0,20.061623694523018,20,25,0,0
1,2015-01-01 00:00:00,00:07:00,2,0,0,63,218.2,3.0092642305523696,0,0,0,17.262852827703657,19.848259166693648,0,60.347927092733855,0,0,0,0,20.673674213787205,0,0,63,0,0,0,0,0,0,0,0,0,0,0,19.953444387385584,20,25,0,0
