Database of locations to draw from,,,,"Average, minimum and maximum monthly temperatures, °C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(Humidity and effectiveness of evaporative air coolers at bottom of page),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,England,,,,,N Delhi,Source:,https://en.climate-data.org/location/30/,,,,Mumbai,Source:,https://en.climate-data.org/location/29/,,,,Bengaluru,Source:,https://en.climate-data.org/location/4562/,,,,,Chennai,Source:,https://en.climate-data.org/location/1003222/,,,,,Kolkata,Source:,https://en.climate-data.org/location/2826/,,,,Itanagar,Source:,https://en.climate-data.org/location/24706/,
,"Warwick, England, UK",,,,,"New Delhi, Northern India",,,,,,"(Bombay), Maharashtra, Western India",,,,,,"(Bangalore), Karnataka, Southern India",,,,,,,"(Madras), Tamil Nadu, Southern India",,,,,,,"(Calcutta), West Bengal, Eastern India",,,,,,"Arunachal Pradesh, North-Eastern India",,,
,Mean,Min,Max,Interval,,Mean,Min,Max,Interval,,,Mean,Min,Max,Interval,,,Mean,Min,Max,Interval,,,,Mean,Min,Max,Interval,,,,Mean,Min,Max,Interval,,,Mean,Min,Max,Interval
Jan,3.3,0.4,6.2,5.8,,14.2,7.3,21.2,13.899999999999999,,,23.7,19,28.4,9.399999999999999,,,20.8,14.3,27.4,13.099999999999998,,,,24.3,19.4,29.3,9.900000000000002,,,,19.5,12.6,26.5,13.9,,,15.2,8.7,21.7,13
Feb,3.7,0.7,6.7,6,,16.9,10.1,23.8,13.700000000000001,,,23.9,19.3,28.6,9.3,,,22.9,15.7,30.1,14.400000000000002,,,,25.6,20.1,31.1,11,,,,22,15.1,28.9,13.799999999999999,,,17.2,11.3,23.2,11.899999999999999
Mar,5.9,2.3,9.5,7.2,,22.7,15.1,30.3,15.200000000000001,,,26.2,22,30.4,8.399999999999999,,,25.5,18.3,32.8,14.499999999999996,,,,27.4,22.2,32.7,10.500000000000004,,,,27,20.4,33.7,13.300000000000004,,,20.7,14.6,26.8,12.200000000000001
Apr,8.3,4.3,12.4,8.100000000000001,,28.6,20.9,36.3,15.399999999999999,,,28.1,24.4,31.9,7.5,,,27.1,20.6,33.7,13.100000000000001,,,,30.3,25.6,35,9.399999999999999,,,,29.9,24,35.9,11.899999999999999,,,23.1,17.9,28.4,10.5
May,11.4,7.1,15.8,8.700000000000001,,33.5,26.4,40.6,14.200000000000003,,,29.7,26.6,32.8,6.199999999999996,,,26.9,20.7,33.1,12.400000000000002,,,,33,27.8,38.3,10.499999999999996,,,,30.4,25.4,35.4,10,,,24.9,20.7,29.1,8.400000000000002
Jun,14.6,10,19.2,9.2,,34.3,28.6,40,11.399999999999999,,,28.9,26.1,31.7,5.599999999999998,,,24.4,19.4,29.4,10,,,,32.5,27.3,37.8,10.499999999999996,,,,29.7,26.1,33.4,7.299999999999997,,,26.9,23.2,30.6,7.400000000000002
Jul,16.2,11.6,20.9,9.299999999999999,,31.1,27.1,35.2,8.100000000000001,,,27.2,25,29.4,4.399999999999999,,,23.3,19,27.7,8.7,,,,30.9,26.2,35.6,9.400000000000002,,,,28.7,25.9,31.6,5.700000000000003,,,27.4,23.8,31.1,7.300000000000001
Aug,15.9,11.4,20.4,8.999999999999998,,29.8,26,33.6,7.600000000000001,,,26.8,24.4,29.3,4.900000000000002,,,23.4,19,27.8,8.8,,,,30.4,25.7,35.1,9.400000000000002,,,,28.6,25.6,31.7,6.099999999999998,,,27.5,23.9,31.1,7.200000000000003
Sep,13.7,9.4,18,8.6,,29.2,24.5,34,9.5,,,27,24.5,29.5,5,,,23.2,18.5,28,9.5,,,,29.7,25.1,34.4,9.299999999999997,,,,28.9,25.7,32.1,6.400000000000002,,,26.7,23,30.4,7.399999999999999
Oct,10.4,6.8,14.1,7.3,,25.8,18.6,33,14.399999999999999,,,28,24.2,31.8,7.600000000000001,,,23.1,18.5,27.8,9.3,,,,28.2,24.1,32.3,8.199999999999996,,,,27.4,23.4,31.5,8.100000000000001,,,24.2,19.8,28.7,8.899999999999999
Nov,6.6,3.6,9.6,6,,20.1,11.7,28.6,16.900000000000002,,,27,22.3,31.7,9.399999999999999,,,21.8,16.8,26.8,10,,,,25.8,22.3,29.4,7.099999999999998,,,,23.3,17.7,28.9,11.2,,,20,14.2,25.8,11.600000000000001
Dec,4.5,1.7,7.3,5.6,,15.6,7.9,23.4,15.499999999999998,,,25.1,20,30.3,10.3,,,20.7,15.1,26.3,11.200000000000001,,,,24.7,20.6,28.9,8.299999999999997,,,,19.5,12.9,26.2,13.299999999999999,,,16.3,9.9,22.8,12.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loughborough:,,,,,,N Delhi,,,,,,Mumbai,,,,,,Bengaluru,,,,,,,Chennai,,,,,,,Kolkata,,,,,,Itanagar,,,
Latitude,52.8,°,,,,Latitude,28.6,°,,,,Latitude,19.1,°,,,,Latitude,13,°,,,,,Latitude,13.1,°,,,,,Latitude,22.6,°,,,,Latitude,27.1,°,
Longitude,-1.2,°,,,,Longitude,77.2,°,,,,Longitude,72.9,°,,,,Longitude,77.6,°,,,,,Longitude,80.3,°,,,,,Longitude,88.4,°,,,,Longitude,93.6,°,
Meridian,0,°,,,,Meridian,82.5,°,,,,Meridian,82.5,°,,,,Meridian,82.5,°,,,,,Meridian,82.5,°,,,,,Meridian,82.5,°,,,,Meridian,82.5,°,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average max-min for Warwick:,,,7.5666666666666655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day to day variation of SD=0.75 appears about right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Therefore SD = interval / 10 for each month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Avg. Temperature (°C),14.2,16.9,22.7,28.6,33.5,34.3,31.1,29.8,29.2,25.8,20.1,15.6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Min. Temperature (°C),7.3,10.1,15.1,20.9,26.4,28.6,27.1,26,24.5,18.6,11.7,7.9,,,,,,,,,,
AIR COOLERS,,,,,,,,,,,,,,,,,,,Max. Temperature (°C),21.2,23.8,30.3,36.3,40.6,40,35.2,33.6,34,33.0,28.6,23.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source of humidity data and daily maxima for air cooler effectiveness: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Climate_of_Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Climate_of_Mumbai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessed 21st November 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typical Air Cooler:,,"1300 Cubic meters of air per hour, air change every 2 minutes, 43.3 cu metre room, 2.5m high is suitable for a room 4.2m x 4.2m or 200 sq. feet (approx)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bajaj Platini PX97 Room Cooler, 36-Litre, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.in/Bajaj-Platini-PX97-Cooler-36-Litre/dp/B00T7N2R1Q/ref=lp_5130993031_1_11/259-2208386-8998111?s=kitchen&ie=UTF8&qid=1511258796&sr=1-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessed 21st November 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectiveness of Air Coolers:,,,https://www.bijlibachao.com/air-conditioners/air-coolers-in-india-symphony-kenstar-bajaj-technology-efficiency-brands-and-prices.html#Power_consumption_efficiency_and_other_factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessed 21st November 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
