Global climate model output (irradiance and temperature shared by all dwellings),,,,,,,,"ARMA Model Output, parameter: aTemperatureYearlyArray",,,,,,,
Time of day,Clearness Index,Clear sky beam radiation at surface (plane tracking sun),Outdoor global radiation (horizontal),Outdoor temperature,,,,Day Of Year,Array 1,Array 2,Array 3,Array 4,Array 5,Array 6,Array 7
,,"Go, clearsky",Go,θo,,,,,,,,,,,
,,Wm-2,Wm-2,°C,,,,1,,,,,,,
00:00:00,1,0,0,0,,,,2,,,,,,,
00:01:00,1,0,0,0,,,,3,,,,,,,
00:02:00,1,0,0,0,,,,4,,,,,,,
00:03:00,1,0,0,0,,,,5,,,,,,,
00:04:00,1,0,0,0,,,,6,,,,,,,
00:05:00,1,0,0,0,,,,7,,,,,,,
00:06:00,1,0,0,0,,,,8,,,,,,,
00:07:00,1,0,0,0,,,,9,,,,,,,
00:08:00,1,0,0,0,,,,10,,,,,,,
00:09:00,0.99,0,0,0,,,,11,,,,,,,
00:10:00,0.67,0,0,0,,,,12,,,,,,,
00:11:00,0.68,0,0,0,,,,13,,,,,,,
00:12:00,0.62,0,0,0,,,,14,,,,,,,
00:13:00,0.59,0,0,0,,,,15,,,,,,,
00:14:00,0.56,0,0,0,,,,16,,,,,,,
00:15:00,0.44,0,0,0,,,,17,,,,,,,
00:16:00,0.46,0,0,0,,,,18,,,,,,,
00:17:00,0.49,0,0,0,,,,19,,,,,,,
00:18:00,0.5,0,0,0,,,,20,,,,,,,
00:19:00,0.89,0,0,0,,,,21,,,,,,,
00:20:00,0.89,0,0,0,,,,22,,,,,,,
00:21:00,0.88,0,0,0,,,,23,,,,,,,
00:22:00,0.92,0,0,0,,,,24,,,,,,,
00:23:00,0.93,0,0,0,,,,25,,,,,,,
00:24:00,0.93,0,0,0,,,,26,,,,,,,
00:25:00,0.95,0,0,0,,,,27,,,,,,,
00:26:00,0.92,0,0,0,,,,28,,,,,,,
00:27:00,0.91,0,0,0,,,,29,,,,,,,
00:28:00,0.42,0,0,0,,,,30,,,,,,,
00:29:00,0.6,0,0,0,,,,31,,,,,,,
00:30:00,0.7,0,0,0,,,,32,,,,,,,
00:31:00,0.52,0,0,0,,,,33,,,,,,,
00:32:00,0.83,0,0,0,,,,34,,,,,,,
00:33:00,0.83,0,0,0,,,,35,,,,,,,
00:34:00,0.83,0,0,0,,,,36,,,,,,,
00:35:00,0.83,0,0,0,,,,37,,,,,,,
00:36:00,0.8,0,0,0,,,,38,,,,,,,
00:37:00,0.8,0,0,0,,,,39,,,,,,,
00:38:00,0.81,0,0,0,,,,40,,,,,,,
00:39:00,0.82,0,0,0,,,,41,,,,,,,
00:40:00,0.86,0,0,0,,,,42,,,,,,,
00:41:00,0.85,0,0,0,,,,43,,,,,,,
00:42:00,0.85,0,0,0,,,,44,,,,,,,
00:43:00,0.79,0,0,0,,,,45,,,,,,,
00:44:00,0.69,0,0,0,,,,46,,,,,,,
00:45:00,0.61,0,0,0,,,,47,,,,,,,
00:46:00,0.93,0,0,0,,,,48,,,,,,,
00:47:00,0.93,0,0,0,,,,49,,,,,,,
00:48:00,0.93,0,0,0,,,,50,,,,,,,
00:49:00,0.93,0,0,0,,,,51,,,,,,,
00:50:00,0.59,0,0,0,,,,52,,,,,,,
00:51:00,0.7,0,0,0,,,,53,,,,,,,
00:52:00,0.53,0,0,0,,,,54,,,,,,,
00:53:00,0.85,0,0,0,,,,55,,,,,,,
00:54:00,0.85,0,0,0,,,,56,,,,,,,
00:55:00,0.99,0,0,0,,,,57,,,,,,,
00:56:00,0.98,0,0,0,,,,58,,,,,,,
00:57:00,0.99,0,0,0,,,,59,,,,,,,
00:58:00,1,0,0,0,,,,60,,,,,,,
00:59:00,0.54,0,0,0,,,,61,,,,,,,
01:00:00,0.54,0,0,0,,,,62,,,,,,,
01:01:00,0.54,0,0,0,,,,63,,,,,,,
01:02:00,0.56,0,0,0,,,,64,,,,,,,
01:03:00,0.78,0,0,0,,,,65,,,,,,,
01:04:00,0.78,0,0,0,,,,66,,,,,,,
01:05:00,0.75,0,0,0,,,,67,,,,,,,
01:06:00,0.76,0,0,0,,,,68,,,,,,,
01:07:00,0.76,0,0,0,,,,69,,,,,,,
01:08:00,0.71,0,0,0,,,,70,,,,,,,
01:09:00,0.53,0,0,0,,,,71,,,,,,,
01:10:00,0.45,0,0,0,,,,72,,,,,,,
01:11:00,0.33,0,0,0,,,,73,,,,,,,
01:12:00,0.36,0,0,0,,,,74,,,,,,,
01:13:00,0.35,0,0,0,,,,75,,,,,,,
01:14:00,0.42,0,0,0,,,,76,,,,,,,
01:15:00,0.39,0,0,0,,,,77,,,,,,,
01:16:00,0.41,0,0,0,,,,78,,,,,,,
01:17:00,0.51,0,0,0,,,,79,,,,,,,
01:18:00,0.51,0,0,0,,,,80,,,,,,,
01:19:00,0.43,0,0,0,,,,81,,,,,,,
01:20:00,0.38,0,0,0,,,,82,,,,,,,
01:21:00,0.53,0,0,0,,,,83,,,,,,,
01:22:00,0.55,0,0,0,,,,84,,,,,,,
01:23:00,0.55,0,0,0,,,,85,,,,,,,
01:24:00,0.55,0,0,0,,,,86,,,,,,,
01:25:00,1,0,0,0,,,,87,,,,,,,
01:26:00,1,0,0,0,,,,88,,,,,,,
01:27:00,1,0,0,0,,,,89,,,,,,,
01:28:00,1,0,0,0,,,,90,,,,,,,
01:29:00,1,0,0,0,,,,91,,,,,,,
01:30:00,1,0,0,0,,,,92,,,,,,,
01:31:00,0.72,0,0,0,,,,93,,,,,,,
01:32:00,0.7,0,0,0,,,,94,,,,,,,
01:33:00,0.69,0,0,0,,,,95,,,,,,,
01:34:00,0.78,0,0,0,,,,96,,,,,,,
01:35:00,0.92,0,0,0,,,,97,,,,,,,
01:36:00,0.95,0,0,0,,,,98,,,,,,,
01:37:00,0.73,0,0,0,,,,99,,,,,,,
01:38:00,0.74,0,0,0,,,,100,,,,,,,
01:39:00,0.75,0,0,0,,,,101,,,,,,,
01:40:00,0.65,0,0,0,,,,102,,,,,,,
01:41:00,0.86,0,0,0,,,,103,,,,,,,
01:42:00,0.86,0,0,0,,,,104,,,,,,,
01:43:00,0.85,0,0,0,,,,105,,,,,,,
01:44:00,0.86,0,0,0,,,,106,,,,,,,
01:45:00,0.86,0,0,0,,,,107,,,,,,,
01:46:00,0.86,0,0,0,,,,108,,,,,,,
01:47:00,0.85,0,0,0,,,,109,,,,,,,
01:48:00,0.84,0,0,0,,,,110,,,,,,,
01:49:00,0.84,0,0,0,,,,111,,,,,,,
01:50:00,0.86,0,0,0,,,,112,,,,,,,
01:51:00,0.89,0,0,0,,,,113,,,,,,,
01:52:00,0.84,0,0,0,,,,114,,,,,,,
01:53:00,0.35,0,0,0,,,,115,,,,,,,
01:54:00,0.34,0,0,0,,,,116,,,,,,,
01:55:00,0.34,0,0,0,,,,117,,,,,,,
01:56:00,0.35,0,0,0,,,,118,,,,,,,
01:57:00,0.35,0,0,0,,,,119,,,,,,,
01:58:00,0.32,0,0,0,,,,120,,,,,,,
01:59:00,0.31,0,0,0,,,,121,,,,,,,
02:00:00,0.31,0,0,0,,,,122,,,,,,,
02:01:00,0.31,0,0,0,,,,123,,,,,,,
02:02:00,0.31,0,0,0,,,,124,,,,,,,
02:03:00,0.76,0,0,0,,,,125,,,,,,,
02:04:00,0.76,0,0,0,,,,126,,,,,,,
02:05:00,0.76,0,0,0,,,,127,,,,,,,
02:06:00,0.77,0,0,0,,,,128,,,,,,,
02:07:00,0.76,0,0,0,,,,129,,,,,,,
02:08:00,0.76,0,0,0,,,,130,,,,,,,
02:09:00,0.76,0,0,0,,,,131,,,,,,,
02:10:00,0.76,0,0,0,,,,132,,,,,,,
02:11:00,0.76,0,0,0,,,,133,,,,,,,
02:12:00,0.59,0,0,0,,,,134,,,,,,,
02:13:00,0.49,0,0,0,,,,135,,,,,,,
02:14:00,0.44,0,0,0,,,,136,,,,,,,
02:15:00,0.68,0,0,0,,,,137,,,,,,,
02:16:00,0.62,0,0,0,,,,138,,,,,,,
02:17:00,0.66,0,0,0,,,,139,,,,,,,
02:18:00,0.64,0,0,0,,,,140,,,,,,,
02:19:00,0.61,0,0,0,,,,141,,,,,,,
02:20:00,0.63,0,0,0,,,,142,,,,,,,
02:21:00,0.64,0,0,0,,,,143,,,,,,,
02:22:00,0.65,0,0,0,,,,144,,,,,,,
02:23:00,0.51,0,0,0,,,,145,,,,,,,
02:24:00,0.5,0,0,0,,,,146,,,,,,,
02:25:00,0.48,0,0,0,,,,147,,,,,,,
02:26:00,0.48,0,0,0,,,,148,,,,,,,
02:27:00,0.51,0,0,0,,,,149,,,,,,,
02:28:00,0.42,0,0,0,,,,150,,,,,,,
02:29:00,0.35,0,0,0,,,,151,,,,,,,
02:30:00,0.35,0,0,0,,,,152,,,,,,,
02:31:00,0.35,0,0,0,,,,153,,,,,,,
02:32:00,0.31,0,0,0,,,,154,,,,,,,
02:33:00,0.33,0,0,0,,,,155,,,,,,,
02:34:00,0.31,0,0,0,,,,156,,,,,,,
02:35:00,0.31,0,0,0,,,,157,,,,,,,
02:36:00,0.29,0,0,0,,,,158,,,,,,,
02:37:00,0.3,0,0,0,,,,159,,,,,,,
02:38:00,0.3,0,0,0,,,,160,,,,,,,
02:39:00,0.29,0,0,0,,,,161,,,,,,,
02:40:00,0.31,0,0,0,,,,162,,,,,,,
02:41:00,0.32,0,0,0,,,,163,,,,,,,
02:42:00,0.39,0,0,0,,,,164,,,,,,,
02:43:00,0.43,0,0,0,,,,165,,,,,,,
02:44:00,0.28,0,0,0,,,,166,,,,,,,
02:45:00,0.28,0,0,0,,,,167,,,,,,,
02:46:00,0.28,0,0,0,,,,168,,,,,,,
02:47:00,0.34,0,0,0,,,,169,,,,,,,
02:48:00,0.35,0,0,0,,,,170,,,,,,,
02:49:00,0.38,0,0,0,,,,171,,,,,,,
02:50:00,0.3,0,0,0,,,,172,,,,,,,
02:51:00,0.31,0,0,0,,,,173,,,,,,,
02:52:00,0.34,0,0,0,,,,174,,,,,,,
02:53:00,0.33,0,0,0,,,,175,,,,,,,
02:54:00,0.37,0,0,0,,,,176,,,,,,,
02:55:00,0.4,0,0,0,,,,177,,,,,,,
02:56:00,0.34,0,0,0,,,,178,,,,,,,
02:57:00,0.29,0,0,0,,,,179,,,,,,,
02:58:00,0.29,0,0,0,,,,180,,,,,,,
02:59:00,0.3,0,0,0,,,,181,,,,,,,
03:00:00,0.3,0,0,0,,,,182,,,,,,,
03:01:00,0.32,0,0,0,,,,183,,,,,,,
03:02:00,0.32,0,0,0,,,,184,,,,,,,
03:03:00,0.33,0,0,0,,,,185,,,,,,,
03:04:00,0.37,0,0,0,,,,186,,,,,,,
03:05:00,0.37,0,0,0,,,,187,,,,,,,
03:06:00,0.36,0,0,0,,,,188,,,,,,,
03:07:00,0.36,0,0,0,,,,189,,,,,,,
03:08:00,0.33,0,0,0,,,,190,,,,,,,
