Heating Controls Model,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Transition Probability Matrix,,,,,,,,,,,,,,,,
,,,,,,,Heating resulting,,,,,,,,Heating resulting,
,,Heating controls timer state @t+1,,,,,probability of 'on',,,Cooling controls timer state @t+1,,,,,probability of 'on',
Half hour period number,Heating controls timer state  @t,Weekdays,,Weekends,,,week,weekend,,Weekdays,,Weekends,,,week,weekend
,,0,1.0,0,1.0,,,,,0,1.0,0,1.0,,,
1,0,0.974,0.0259999999999999,0.97,0.03,,0.626,0.63,,0.05,0.95,0.05,0.95,,0.95,0.95
1,1,0.374,0.626,0.37,0.63,,0.626,0.63,,0.05,0.95,0.05,0.95,,0.95,0.95
2,0,0.978,0.022,0.974,0.0259999999999999,,0.3976,0.40399999999999997,,0.05,0.95,0.05,0.95,,0.95,0.95
2,1,0.378,0.622,0.374,0.626,,0.3976,0.40399999999999997,,0.05,0.95,0.05,0.95,,0.95,0.95
3,0,0.972,0.028,0.968,0.0319999999999999,,0.26656,0.2743999999999999,,0.05,0.95,0.05,0.95,,0.95,0.95
3,1,0.372,0.628,0.368,0.632,,0.26656,0.2743999999999999,,0.05,0.95,0.05,0.95,,0.95,0.95
4,0,0.972,0.028,0.968,0.0319999999999999,,0.18793600000000002,0.19663999999999987,,0.05,0.95,0.05,0.95,,0.95,0.95
4,1,0.372,0.628,0.368,0.632,,0.18793600000000002,0.19663999999999987,,0.05,0.95,0.05,0.95,,0.95,0.95
5,0,0.972,0.028,0.973,0.0269999999999999,,0.14076160000000001,0.14498399999999984,,0.05,0.95,0.05,0.95,,0.95,0.95
5,1,0.372,0.628,0.373,0.627,,0.14076160000000001,0.14498399999999984,,0.05,0.95,0.05,0.95,,0.95,0.95
6,0,0.967,0.0329999999999999,0.97,0.0299999999999999,,0.11745695999999992,0.11699039999999981,,0.05,0.95,0.05,0.95,,0.95,0.95
6,1,0.367,0.633,0.37,0.63,,0.11745695999999992,0.11699039999999981,,0.05,0.95,0.05,0.95,,0.95,0.95
7,0,0.965,0.0349999999999999,0.965,0.0349999999999999,,0.10547417599999986,0.1051942399999998,,0.05,0.95,0.05,0.95,,0.95,0.95
7,1,0.365,0.635,0.365,0.635,,0.10547417599999986,0.1051942399999998,,0.05,0.95,0.05,0.95,,0.95,0.95
8,0,0.958,0.0419999999999999,0.958,0.0419999999999999,,0.10528450559999983,0.10511654399999978,,0.05,0.95,0.05,0.95,,0.95,0.95
8,1,0.358,0.642,0.358,0.642,,0.10528450559999983,0.10511654399999978,,0.05,0.95,0.05,0.95,,0.95,0.95
